Transaction Month and Year,Make,Model,Model Year,Vehicle Color,Vehicle Type,Vehicle Primary Use,Fuel Type Primary,Fuel Type Secondary,Gross Vehicle Weight Rating Class,Gross Vehicle Weight Rating Range (lbs),Electrification Level,Plate Background,Plate Configuration,Owner Type,County,State,Postal Code,Transaction Type,Transaction Channel,2020 GEOID,Transaction Count
2023-10-01,SUBARU,FORESTER,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98052,Registration Renewal,In-person,53033032330,1
2024-05-01,CHEVROLET,SILVERADO,2009,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98531,Registration Renewal,Mail-in,53041970200,1
2023-12-01,JEEP,WRANGLER,2021,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99354,Registration at time of Transfer,In-person,53005010203,1
2024-08-01,FORD,F-350,1999,WHITE,TRUCK,Truck,Diesel,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grays Harbor,WA,98550,Registration Renewal,In-person,53027001300,1
2024-07-01,CHEVROLET,SUBURBAN,2017,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Ethanol (E85),2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98908,Registration Renewal,Online,53077002801,1
2024-05-01,GMC,YUKON,2008,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Personalized Plate,Personalized,Individual Owner,King,WA,98045,Registration Renewal,Online,53033032705,1
2023-10-01,RAM,1500,2019,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98837,Registration Renewal,In-person,53025011001,1
2023-12-01,TOYOTA,RAV4,2021,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98901,Original Registration,In-person,53077000200,1
2024-05-01,JEEP,WRANGLER,2006,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98335,Registration Renewal,Online,53053072408,1
2023-11-01,HONDA,PILOT,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98019,Registration Renewal,In-person,53033032402,1
2024-01-01,LEXUS,RX,2005,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98110,Registration Renewal,Online,53035091001,1
2024-07-01,DODGE,DURANGO,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99337,Registration Renewal,In-person,53005011402,1
2024-08-01,CHRYSLER,TOWN AND COUNTRY,2012,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98370,Registration Renewal,In-person,53035091100,1
2024-05-01,SUBARU,IMPREZA,2005,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98065,Registration Renewal,Online,53033032605,1
2023-10-01,JEEP,CHEROKEE,2019,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Flexible Fuel Vehicle (FFV),,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98310,Registration Renewal,In-person,53035080102,1
2024-02-01,TOYOTA,RAV4,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98685,Registration Renewal,In-person,53011040907,1
2023-12-01,TOYOTA,PRIUS,2007,,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1,"6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Thurston,WA,98513,Registration Renewal,Online,53067012330,1
2023-12-01,FORD,F-150,1999,BLACK,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98682,Registration Renewal,In-person,53011041312,1
2024-04-01,TOYOTA,SCION XB,2013,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98387,Registration Renewal,Online,53053071409,1
2024-06-01,SUBARU,OUTBACK,2015,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98686,Registration Renewal,In-person,53011040803,1
2023-10-01,YAMAHA,VMX12 (V-MAX),2002,GRAY,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98004,Registration Renewal,Online,53033023801,1
2023-09-01,SUBARU,CROSSTREK,2024,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98059,Original Registration,In-person,53033025103,1
2024-07-01,TOYOTA,COROLLA,2022,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98387,Original Registration,In-person,53053071417,1
2023-10-01,HYUNDAI,ELANTRA,2010,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98198,Registration at time of Transfer,In-person,53033028902,1
2024-02-01,FORD,F-150,2015,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98403,Registration at time of Transfer,In-person,53053061502,1
2023-11-01,FORD,ESCAPE,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98271,Registration Renewal,Mail-in,53061052808,1
2024-01-01,TOYOTA,PRIUS,2010,,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1B,"3,001 - 4,000",Strong HEV (Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,Snohomish,WA,98252,Registration Renewal,Online,53061053505,1
2024-05-01,AUDI,A3,2018,,PASSENGER CAR,Passenger Vehicle,Hybrid,Gasoline,1,"6,000",PHEV (Plug-in Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98146,Registration Renewal,Mail-in,53033012100,1
2024-07-01,CHEVROLET,CRUZE,2012,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,Ethanol (E85),1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98466,Registration at time of Transfer,In-person,53053072305,1
2023-10-01,HONDA,ACCORD,1998,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98155,Registration Renewal,In-person,53033020401,1
2023-10-01,NISSAN,PICKUP,1985,WHITE,TRUCK,Truck,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98513,Registration Renewal,Online,53067012331,1
2024-04-01,HYUNDAI,ACCENT,2013,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98607,Original Registration,In-person,53011041400,1
2023-09-01,LEXUS,LS,2005,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,In-person,53061052605,1
2024-03-01,RAM,3500,2024,,TRUCK,Truck,Diesel,,3,"10,001 - 14,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Chelan,WA,98801,Original Registration,In-person,53007961304,1
2023-12-01,CHEVROLET,GMT-400,1996,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99212,Registration at time of Transfer,In-person,53063012200,1
2024-07-01,CHEVROLET,CAMARO,2011,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98019,Registration Renewal,Online,53033032500,1
2023-09-01,FORD,ROADSTR,1929,YELLOW,PASSENGER CAR,Passenger Vehicle,Gasoline,,,,ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99212,Registration Renewal,Mail-in,53063012401,1
2024-08-01,SUBARU,OUTBACK,2017,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Chelan,WA,98826,Registration Renewal,Online,53007960202,1
2024-06-01,CHEVROLET,SILVERADO LTD,2022,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99218,Registration Renewal,In-person,53063010901,1
2024-08-01,HARLEY DAVIDSON,ELECTRA GLIDE ULTRA LIMITED,2014,,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98045,Registration Renewal,Online,53033032705,1
2024-05-01,TOYOTA,CAMRY,2021,WHITE,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1,"6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Snohomish,WA,98208,Registration Renewal,Online,53061041609,1
2023-12-01,AUDI,S7,2018,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98119,Registration Renewal,Mail-in,53033006900,1
2024-05-01,SUBARU,CROSSTREK,2020,BLUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98121,Registration Renewal,Online,53033007202,1
2023-09-01,FORD,ECONOLINE,1997,WHITE,INCOMPLETE VEHICLE,Truck,Gasoline,,3,"10,001 - 14,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98674,Registration Renewal,In-person,53015001503,1
2024-03-01,HONDA,ACCORD,2005,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98001,Registration Renewal,Mail-in,53033029805,1
2024-07-01,HONDA,CIVIC,2005,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98038,Registration Renewal,Mail-in,53033032010,1
2024-03-01,NISSAN,ROGUE,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,Online,53061052604,1
2023-12-01,AUDI,S4,2013,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Law Enforcement Memorial,Standard,Individual Owner,Snohomish,WA,98296,Registration Renewal,In-person,53061052008,1
2023-10-01,RAM,1500,2019,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98682,Registration Renewal,Online,53011041312,1
2024-03-01,ACURA,ILX,2014,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98391,Registration Renewal,Online,53053070308,1
2023-11-01,TOYOTA,AVALON,2019,"BLUE,DARK",PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99005,Registration Renewal,Online,53063010305,1
2024-02-01,HONDA,ACCORD,2016,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98266,Registration Renewal,In-person,53073010102,1
2023-12-01,CHEVROLET,SILVERADO,1999,ALUMINUM / SILVER,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98155,Registration Renewal,In-person,53033020500,1
2024-05-01,TOYOTA,TACOMA,2018,,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98387,Registration Renewal,In-person,53053073005,1
2024-08-01,FORD,EXPLORER,2002,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98338,Registration at time of Transfer,In-person,53053073130,1
2024-07-01,FORD,E-350,1996,WHITE,BUS,Passenger Vehicle,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,San Juan,WA,98250,Registration at time of Transfer,In-person,53055960302,1
2024-08-01,TOYOTA,CAMRY,2007,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98059,Registration Renewal,Mail-in,53033025104,1
2023-11-01,TOYOTA,COROLLA,2004,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98021,Registration Renewal,In-person,53061051926,1
2024-04-01,CHRYSLER,TOWN AND COUNTRY,2010,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98204,Registration Renewal,Mail-in,53061041907,1
2024-05-01,FORD,F-250,2015,,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Business Owner,Pierce,WA,98371,Registration Renewal,In-person,53053071205,1
2023-11-01,SUBARU,OUTBACK,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98370,Registration Renewal,Online,53035090502,1
2023-12-01,DODGE,NEON,1999,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99027,Registration Renewal,In-person,53063011400,1
2023-10-01,FORD,F-250,2008,,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Walla Walla,WA,99362,Registration Renewal,In-person,53071920302,1
2024-08-01,FORD,F-150,2013,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Unknown or Out of State,WA,98922,Registration Renewal,Online,53037975201,1
2024-01-01,TOYOTA,HIGHLANDER,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98074,Registration Renewal,Online,53033032316,1
2023-10-01,FORD,RANGER,2020,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98466,Registration at time of Transfer,In-person,53053072310,1
2024-08-01,TOYOTA,TACOMA,1998,RED,TRUCK,Truck,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98042,Registration Renewal,Online,53033031704,1
2024-07-01,NISSAN,QUEST,2015,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98607,Registration Renewal,Online,53011041325,1
2024-06-01,TOYOTA,COROLLA CROSS,2022,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98005,Registration Renewal,Online,53033023500,1
2024-08-01,FORD,FUSION,2017,,PASSENGER CAR,Passenger Vehicle,Hybrid,Gasoline,1,"6,000",PHEV (Plug-in Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,Snohomish,WA,98208,Registration Renewal,Online,53061041601,1
2024-07-01,SUBARU,FORESTER,2018,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98373,Registration Renewal,Online,53053071304,1
2024-01-01,TOYOTA,CAMRY,2018,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98056,Registration at time of Transfer,In-person,53033025202,1
2024-07-01,HONDA,CIVIC,2020,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98023,Registration Renewal,Online,53033030310,1
2023-10-01,GMC,SIERRA,2024,,TRUCK,Truck,Diesel,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Endangered Wildlife Orca,Personalized,Business Owner,Skagit,WA,98221,Original Registration,In-person,53057940301,1
2024-04-01,VOLKSWAGEN,JETTA,2008,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98270,Registration Renewal,Online,53061052707,1
2024-08-01,TOYOTA,PRIUS,2015,,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1,"6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Kitsap,WA,98346,Registration Renewal,In-person,53035090102,1
2023-12-01,TESLA,MODEL Y,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Electric,,1D,"5,001 - 6,000",BEV (Battery Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98006,Original Registration,In-person,53033023902,1
2023-09-01,HONDA,ODYSSEY,2007,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Gasoline,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Disabled Parking,Standard,Individual Owner,Clark,WA,98684,Registration Renewal,In-person,53011041320,1
2024-04-01,TOYOTA,CAMRY,2016,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98579,Registration Renewal,In-person,53067012720,1
2024-06-01,TOYOTA,4-RUNNER,2004,BLUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Stevens,WA,99110,Registration Renewal,In-person,53065951301,1
2024-03-01,GMC,SIERRA,2015,GRAY,TRUCK,Truck,Gasoline,Ethanol (E85),2F,"7,001 - 8,000",ICE (Internal Combustion Engine),WA Wildlife Fish,Standard,Individual Owner,Clark,WA,98685,Registration Renewal,Online,53011040910,1
2024-07-01,VOLKSWAGEN,JETTA,2017,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98370,Registration Renewal,In-person,53035090502,1
2024-04-01,LEXUS,IS,2023,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98663,Original Registration,In-person,53011041011,1
2024-05-01,TOYOTA,PICK-UP,1988,BLACK,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98443,Registration Renewal,In-person,53053940004,1
2024-02-01,TOYOTA,SIENNA,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,Online,53061052504,1
2024-07-01,SATURN,VUE,2004,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98933,Registration Renewal,In-person,53077940003,1
2024-02-01,FORD,TAURUS,2007,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99021,Registration Renewal,Online,53063011202,1
2024-05-01,CHEVROLET,SILVERADO,2003,WHITE,TRUCK,Truck,Diesel,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98223,Registration Renewal,In-person,53061053700,1
2024-08-01,FORD,F-150,2001,RED,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98604,Registration Renewal,Online,53011040203,1
2024-01-01,HONDA,CR-V,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Disabled Parking,Standard,Individual Owner,Kittitas,WA,98926,Registration Renewal,In-person,53037975500,1
2024-02-01,GMC,YUKON,2016,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98665,Registration Renewal,Online,53011041008,1
2024-04-01,MAZDA,MX-5,2006,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98404,Registration Renewal,Online,53053062300,1
2023-12-01,HARLEY DAVIDSON,FLSTC / HERITAGE SOFTAIL CLASSIC,1998,BLACK,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98502,Registration Renewal,Online,53067011902,1
2024-04-01,TOYOTA,TACOMA,2023,,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98682,Registration Renewal,Mail-in,53011040604,1
2024-08-01,HONDA,GL1800,2005,ALUMINUM / SILVER,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98292,Registration Renewal,In-person,53061053201,1
2024-01-01,TOYOTA,CAMRY,2007,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98375,Registration Renewal,In-person,53053071309,1
2024-02-01,FORD,EXPEDITION,1999,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Business Owner,Whatcom,WA,98225,Registration Renewal,In-person,53073000501,1
2024-02-01,HARLEY DAVIDSON,HERITAGE SOFTAIL CLASSIC 103,2012,BLACK,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98512,Registration at time of Transfer,In-person,53067010920,1
2024-06-01,TOYOTA,RAV4,2009,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98108,Registration at time of Transfer,In-person,53033010402,1
2024-02-01,SUBARU,OUTBACK,2017,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98244,Registration Renewal,In-person,53073010102,1
2024-05-01,TOYOTA,TUNDRA,2001,BLUE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Okanogan,WA,98856,Registration Renewal,In-person,53047971000,1
2023-10-01,DODGE,RAM,2009,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98626,Registration Renewal,In-person,53015001700,1
2023-09-01,HONDA,FIT,2007,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98498,Registration Renewal,In-person,53053072106,1
2024-08-01,NISSAN,MURANO,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Personalized Plate,Personalized,Individual Owner,Benton,WA,99352,Registration Renewal,Online,53005010819,1
